First Name	Last Name	Date of Birth	Email	Identification Number	Password	Address	Phone Number	Checking Account Number	Savings Account Number	Credit Account Number	Checking Starting Balance	Savings Starting Balance	Credit Starting Balance	Credit Max
C	3PO	"May 8, 1970"	C3PO@disney.com	100	Password149	"538 W. University Ave, El Paso, TX 79968"	(915) 747-5038	1099	2099	3099	1516.58	3906.77	-1349.54	3728
Daniel	A	"April 4, 1961"	DanielA@disney.com	63	Password112	"501 W. University Ave, El Paso, TX 79968"	(915) 747-5001	1062	2062	3062	1340.62	1077.89	-282.62	4016
Sean	Aguilar	"January 7, 1929"	SeanAguilar@disney.com	37	Password86	"1314 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4637	1036	2036	3036	1943.87	3312.98	-340.56	5371
Jafar	Aladdin	"December 29, 1972"	JafarAladdin@disney.com	18	Password67	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1017	2017	3017	794.88	1326.96	-1582.11	9683
Aaron	Alarcon	"October 16, 1965"	AaronAlarcon@disney.com	38	Password87	"1315 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4638	1037	2037	3037	709.44	1053.42	-1343.96	9756
Bryant	Allsup	"October 24, 1965"	BryantAllsup@disney.com	39	Password88	"1316 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4639	1038	2038	3038	1340.54	2903.33	-1198.99	8094
Captain	America	"November 2, 1937"	CaptainAmerica@disney.com	92	Password141	"530 W. University Ave, El Paso, TX 79968"	(915) 747-5030	1091	2091	3091	579.94	276.90	-1393.02	9141
Nathan	Aun	"February 12, 2013"	NathanAun@disney.com	40	Password89	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1039	2039	3039	1386.84	49.46	-262.72	3510
Daniel	B	"October 3, 1955"	DanielB@disney.com	64	Password113	"502 W. University Ave, El Paso, TX 79968"	(915) 747-5002	1063	2063	3063	1254.89	1138.63	-2.39	8692
William	Basquez	"March 23, 1953"	WilliamBasquez@disney.com	41	Password90	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1040	2040	3040	1152.23	2043.12	-1110.15	3759
Tinker	Bell	"November 18, 1931"	TinkerBell@disney.com	88	Password137	"526 W. University Ave, El Paso, TX 79968"	(915) 747-5026	1087	2087	3087	574.82	1282.65	-1342.20	6507
Daniel	C	"March 14, 1970"	DanielC@disney.com	65	Password114	"503 W. University Ave, El Paso, TX 79968"	(915) 747-5003	1064	2064	3064	526.75	769.89	-1328.78	3954
Fabian	Cano	"June 20, 1944"	FabianCano@disney.com	42	Password91	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1041	2041	3041	705.78	2351.83	-507.36	5281
Denise	Castro	"August 11, 1953"	DeniseCastro@disney.com	43	Password92	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1042	2042	3042	461.46	3234.26	-1159.62	7831
Karla	Chavez	"September 23, 1998"	KarlaChavez@disney.com	44	Password93	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1043	2043	3043	302.18	2940.97	-1805.47	7390
Daniel	D	"May 11, 1969"	DanielD@disney.com	66	Password115	"504 W. University Ave, El Paso, TX 79968"	(915) 747-5004	1065	2065	3065	1956.54	1872.13	-117.61	7778
R2	D2	"September 30, 1950"	R2D2@disney.com	99	Password148	"537 W. University Ave, El Paso, TX 79968"	(915) 747-5037	1098	2098	3098	1840.51	1784.37	-1180.01	9000
Solomon	Davis	"May 28, 1982"	SolomonDavis@disney.com	45	Password94	"500 W. University Ave, El Paso, TX 79968"	(915) 747-5000	1044	2044	3044	1819.39	519.32	-1555.92	6311
Cruella	De Vil	"April 15, 2019"	CruellaDe Vil@disney.com	22	Password71	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1021	2021	3021	975.82	3506.75	-1671.20	4178
Goofy	Disney	"June 2, 1988"	GoofyDisney@disney.com	4	Password53	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1003	2003	3003	962.79	3272.63	-232.52	9950
Pluto	Disney	"March 21, 1990"	PlutoDisney@disney.com	5	Password54	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1004	2004	3004	156.24	2403.97	-12.41	6824
Chip	Disney	"December 25, 1996"	ChipDisney@disney.com	6	Password55	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1005	2005	3005	1369.24	4788.93	-1936.34	6766
Dale	Disney	"September 15, 1969"	DaleDisney@disney.com	7	Password56	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1006	2006	3006	1040.16	4372.72	-707.80	8901
Cinderella	Disney	"May 20, 1992"	CinderellaDisney@disney.com	8	Password57	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1007	2007	3007	614.22	1240.63	-928.28	7074
Ariel	Disney	"January 24, 2006"	ArielDisney@disney.com	9	Password58	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1008	2008	3008	1762.41	588.85	-381.05	9999
Jasmine	Disney	"February 15, 2011"	JasmineDisney@disney.com	10	Password59	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1009	2009	3009	1716.06	3570.51	-1398.32	3947
Aladdin	Disney	"June 12, 1963"	AladdinDisney@disney.com	11	Password60	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1010	2010	3010	914.78	4724.40	-1392.51	8790
Simba	Disney	"December 11, 2004"	SimbaDisney@disney.com	12	Password61	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1011	2011	3011	1591.70	683.04	-1977.06	5145
Mufassa	Disney	"January 12, 2006"	MufassaDisney@disney.com	13	Password62	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1012	2012	3012	1926.35	1260.63	-426.76	6941
Aurora	Disney	"July 10, 1965"	AuroraDisney@disney.com	14	Password63	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1013	2013	3013	369.38	3144.46	-175.39	5379
Woody	Disney	"January 21, 1932"	WoodyDisney@disney.com	16	Password65	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1015	2015	3015	646.15	2823.21	-267.11	5272
Beast	Disney	"April 5, 1943"	BeastDisney@disney.com	20	Password69	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1019	2019	3019	1828.34	1904.26	-1163.95	5153
Belle	Disney	"November 22, 1996"	BelleDisney@disney.com	21	Password70	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1020	2020	3020	824.11	47.39	-1108.47	7599
Gaston	Disney	"December 17, 2013"	GastonDisney@disney.com	25	Password74	"1313 Disneyland Dr, Anaheim, CA 92802"	(714) 781-4636	1024	2024	3024	1047.06	4371.97	-891.35	4037
